idx,move
674,"[3, 2, 3, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1]"
1934,"[2, 0, 0, 0, 0, 2, 2, 2, 2, 1, 3, 1, 1, 1, 1]"
825,"[1, 1, 1, 1, 1, 2, 2, 2, 2]"
3154,"[0, 1, 2, 2, 1, 2, 2]"
2710,"[0, 2, 2, 0, 0, 0]"
1357,"[1, 2, 2, 2, 2, 1]"
448,"[0, 2, 2, 2, 2, 0]"
3080,"[2, 2, 2, 2]"
1706,"[2, 2, 2, 2, 2, 1]"
301,"[0, 0, 0, 3, 3, 3, 3, 3, 2, 3]"
3095,"[2, 1, 1, 1, 1, 1]"
1051,"[0, 0, 3, 3, 3, 3, 1]"
1321,"[2, 2, 2, 1, 1, 1, 2, 2]"
2996,"[2, 2, 2, 0, 0, 2]"
2191,"[3, 3, 3, 3, 3]"
1697,"[2, 2, 2, 2, 2, 1]"
936,"[2, 2, 2, 0, 0, 0, 0]"
1527,"[0, 0, 3, 3, 3, 3]"
2294,"[2, 1, 1, 1, 1, 1, 3]"
2966,"[3, 3, 3, 3, 3]"
2519,"[0, 0, 3, 3, 3, 3]"
1171,"[2, 2, 2, 2, 0, 0]"
3270,"[0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 0]"
1912,"[3, 3, 0, 0, 0, 0, 3]"
996,"[0, 3, 3, 3, 3, 3]"
1669,"[2, 2, 1, 1, 1, 1, 1, 0, 3, 3, 3, 3, 3]"
129,"[3, 1, 1, 1, 1, 1]"
1258,"[1, 2, 1, 1, 1, 3, 3]"
743,"[0, 0, 0, 0, 3, 3, 3, 3, 3]"
1996,"[2, 3, 3, 3, 0, 0, 0, 0, 0]"
1670,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
2562,"[1, 1, 1, 1, 1, 2, 2]"
2754,"[1, 1, 1, 1, 3]"
2421,"[1, 2, 2, 2, 2, 0, 0, 0, 0]"
1803,"[1, 1, 1, 1, 3]"
303,"[2, 0, 0, 0, 0, 2, 0]"
1576,"[2, 1, 1, 1, 2, 2, 2, 2]"
589,"[3, 3, 3, 3, 1, 1]"
235,"[1, 1, 1, 1, 2]"
3044,"[0, 3, 0, 3, 3, 3, 0, 0, 0, 3]"
2124,"[0, 0, 0, 0, 0, 3, 3, 3, 1]"
3157,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
1837,"[1, 3, 1, 1, 1]"
760,"[1, 3, 3, 1, 1, 1, 1, 2, 2]"
3196,"[3, 1, 1, 1, 1, 1]"
1583,"[1, 1, 1, 1, 1]"
3021,"[2, 2, 2, 0, 0, 0, 0, 0]"
729,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 3]"
3235,"[2, 0, 0, 0, 0, 0]"
434,"[1, 1, 1, 1, 1]"
2592,"[0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0]"
2350,"[3, 3, 3, 3, 1, 1, 1, 1, 3]"
2588,"[0, 0, 0, 0, 0, 1, 3]"
542,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
2600,"[3, 0, 0, 0, 0, 0]"
1651,"[3, 0, 0, 0, 0, 0]"
628,"[2, 2, 2, 2, 2, 3, 0, 0, 0, 0]"
153,"[1, 2, 2, 2, 2, 2, 0, 0, 3]"
1624,"[2, 0, 0, 0, 0, 2, 2, 2, 2]"
768,"[1, 1, 1, 1, 1]"
2430,"[1, 1, 1, 1, 2, 2]"
1842,"[1, 3, 3, 3, 1, 1, 1, 1]"
1673,"[3, 1, 3, 3, 0, 3, 0]"
2324,"[1, 1, 2, 2, 2, 2, 2]"
1266,"[0, 0, 0, 0, 0, 2, 2, 2, 2]"
2499,"[1, 1, 1, 1]"
2662,"[2, 0, 0, 2, 0, 0, 3, 3, 0]"
