,idx,answer,treatment
0,20,1,2
1,22,0,2
2,4,1,2
3,6,1,2
4,1,0,2
5,2,1,2
6,13,1,2
7,19,1,2
8,18,0,2
9,15,1,2
10,21,1,2
11,7,1,2
12,17,0,2
13,11,0,2
14,9,1,2
15,10,0,2
16,0,1,2
17,8,1,2
18,5,0,2
19,14,0,2
20,3,1,2
21,24,1,2
22,16,1,2
23,12,1,2
24,23,0,2
25,13,0,2
26,18,0,2
27,4,1,2
28,1,0,2
29,6,1,2
30,2,1,2
31,9,0,2
32,11,0,2
33,17,0,2
34,3,0,2
35,10,0,2
36,0,1,2
37,24,1,2
38,22,0,2
39,19,1,2
40,7,0,2
41,5,1,2
42,23,0,2
43,20,0,2
44,12,1,2
45,15,1,2
46,21,1,2
47,16,1,2
48,8,0,2
49,14,1,2
50,13,0,2
51,2,0,2
52,17,1,2
53,9,1,2
54,19,1,2
55,24,1,2
56,0,0,2
57,6,1,2
58,11,1,2
59,22,0,2
60,16,1,2
61,5,1,2
62,15,1,2
63,14,1,2
64,8,1,2
65,20,0,2
66,1,0,2
67,21,0,2
68,10,0,2
69,18,0,2
70,12,0,2
71,7,1,2
72,3,0,2
73,4,0,2
74,23,0,2
75,13,0,2
76,18,0,2
77,20,0,2
78,8,0,2
79,17,0,2
80,5,0,2
81,21,1,2
82,11,0,2
83,9,0,2
84,6,1,2
85,24,1,2
86,2,0,2
87,10,0,2
88,7,0,2
89,0,1,2
90,14,1,2
91,15,1,2
92,12,0,2
93,19,1,2
94,3,1,2
95,1,0,2
96,4,1,2
97,16,1,2
98,22,0,2
99,23,0,2
100,4,0,2
101,13,0,2
102,24,0,2
103,20,0,2
104,21,0,2
105,6,0,2
106,12,0,2
107,8,0,2
108,5,0,2
109,11,0,2
110,10,0,2
111,0,0,2
112,16,0,2
113,15,0,2
114,1,0,2
115,2,0,2
116,17,0,2
117,18,0,2
118,14,0,2
119,9,1,2
120,22,0,2
121,3,0,2
122,19,0,2
123,7,1,2
124,23,0,2
125,14,1,2
126,12,1,2
127,23,0,2
128,0,1,2
129,20,0,2
130,17,0,2
131,6,1,2
132,10,0,2
133,4,1,2
134,8,1,2
135,22,0,2
136,21,0,2
137,1,0,2
138,24,1,2
139,15,1,2
140,2,0,2
141,7,0,2
142,9,0,2
143,13,0,2
144,5,0,2
145,18,0,2
146,19,0,2
147,11,0,2
148,16,1,2
149,3,0,2
150,12,0,2
151,14,0,2
152,6,1,2
153,2,1,2
154,11,1,2
155,19,1,2
156,10,0,2
157,9,0,2
158,1,0,2
159,3,0,2
160,8,0,2
161,13,0,2
162,23,0,2
163,15,0,2
164,20,0,2
165,0,0,2
166,22,0,2
167,24,0,2
168,21,1,2
169,5,1,2
170,7,0,2
171,17,0,2
172,4,0,2
173,16,0,2
174,18,0,2
175,23,1,2
176,22,0,2
177,14,1,2
178,19,0,2
179,2,1,2
180,24,1,2
181,3,0,2
182,4,1,2
183,15,1,2
184,10,1,2
185,8,0,2
186,18,1,2
187,16,1,2
188,13,1,2
189,9,1,2
190,17,1,2
191,20,1,2
192,12,1,2
193,11,1,2
194,0,1,2
195,7,0,2
196,1,0,2
197,6,1,2
198,21,0,2
199,5,0,2
200,8,1,2
201,20,0,2
202,10,1,2
203,6,1,2
204,1,0,2
205,17,1,2
206,19,1,2
207,2,1,2
208,24,1,2
209,16,1,2
210,12,1,2
211,3,0,2
212,11,1,2
213,22,0,2
214,7,1,2
215,23,0,2
216,5,0,2
217,9,1,2
218,0,1,2
219,21,1,2
220,13,0,2
221,15,1,2
222,18,0,2
223,14,1,2
224,4,0,2
225,20,0,2
226,18,1,2
227,4,0,2
228,22,0,2
229,0,1,2
230,21,1,2
231,9,0,2
232,12,0,2
233,14,1,2
234,10,0,2
235,16,1,2
236,5,0,2
237,8,1,2
238,6,1,2
239,2,0,2
240,3,0,2
241,24,1,2
242,13,0,2
243,19,0,2
244,15,1,2
245,23,1,2
246,7,0,2
247,11,0,2
248,17,0,2
249,1,0,2
250,16,1,2
251,22,0,2
252,6,1,2
253,3,0,2
254,0,1,2
255,7,0,2
256,19,1,2
257,4,1,2
258,21,1,2
259,18,0,2
260,15,1,2
261,24,1,2
262,5,1,2
263,8,0,2
264,17,0,2
265,14,1,2
266,11,0,2
267,1,0,2
