,game_idx,ai_treatment,hint_treatment,is_tutorial_game,reward,hit_goals,designed_goals,player0_move,player1_move
0,1001,1,1,True,10,"(1, 3)","(1, 3)","[2, 2, 2, 2]","[0, 3, 3, 3]"
1,1002,1,1,True,-10,"(-1, -1)","(0, 2)","[0, 0]","[1, 2]"
2,1003,1,1,True,-10,"(-1, -1)","(0, 2)","[0, 4, 4]","[1, 1, 3]"
3,586,1,1,False,10,"(0, 2)","(0, 2)","[3, 2, 3, 3, 1, 0, 0, 3]","[0, 0, 3, 3, 3, 3, 3, 1]"
4,210,1,1,False,10,"(1, 3)","(1, 3)","[0, 3, 3, 3, 2, 2, 2, 2, 0, 0, 2, 2]","[1, 1, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
5,905,1,1,False,4,"(0, 3)","(1, 3)","[0, 2, 1, 1, 2, 2, 2, 1, 1, 1, 3]","[2, 0, 2, 0, 4, 4, 4, 4, 4, 4, 4]"
6,206,1,1,False,4,"(1, 2)","(0, 2)","[3, 4, 4, 4, 4, 4]","[1, 1, 3, 3, 3, 1]"
7,297,1,1,False,-10,"(-1, -1)","(0, 2)","[3, 3]","[0, 0]"
8,783,1,1,False,10,"(0, 2)","(0, 2)","[2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1]","[2, 2, 2, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
9,183,1,1,False,10,"(0, 2)","(0, 2)","[3, 3, 3, 1, 1, 0, 3]","[0, 2, 2, 2, 2, 2, 4]"
10,948,1,1,False,10,"(0, 2)","(0, 2)","[3, 1, 2, 2, 2, 3, 3, 1, 1, 1, 1, 1]","[1, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4]"
11,33,1,1,False,10,"(1, 3)","(1, 3)","[0, 2, 1, 2, 2, 2, 4, 4, 4, 4]","[0, 0, 0, 2, 0, 2, 0, 0, 3, 3]"
12,985,1,1,False,10,"(1, 3)","(1, 3)","[2, 0, 2, 2, 2, 2, 4]","[3, 3, 1, 3, 3, 0, 0]"
13,216,1,1,False,4,"(1, 2)","(0, 2)","[0, 2, 2, 2, 4]","[1, 2, 1, 2, 1]"
14,645,1,1,False,10,"(1, 3)","(1, 3)","[0, 0, 3, 3, 2, 2, 2, 0]","[1, 1, 3, 3, 4, 4, 4, 4]"
15,936,1,1,False,4,"(0, 3)","(1, 3)","[0, 0, 1, 1, 2, 2, 2, 0]","[1, 1, 2, 1, 2, 1, 1, 1]"
16,983,1,1,False,10,"(0, 2)","(0, 2)","[3, 3, 3, 0, 4, 4, 4, 4, 4]","[0, 2, 0, 0, 2, 2, 2, 0, 2]"
17,181,1,1,False,4,"(1, 2)","(0, 2)","[2, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 3, 3, 1]"
