,human_belief,treatment,game_idx,designed_goal,player0_move,player1_move
0,0,0,155,0,"[2, 2, 0, 0, 2, 2, 2]","[2, 2, 0, 0, 2, 2, 2]"
1,0,0,129,0,"[2, 0, 0, 0, 0]","[2, 0, 0, 0, 0]"
2,0,0,95,0,"[1, 1, 1, 1]","[1, 1, 1, 1]"
3,0,0,159,1,"[2, 0, 0, 0, 0, 0, 3]","[2, 0, 0, 0, 0, 0, 3]"
4,0,0,58,1,"[3, 0, 3, 3]","[3, 0, 3, 3]"
5,0,0,53,1,"[0, 0, 2, 0, 0]","[0, 0, 2, 0, 0]"
6,0,0,214,1,"[1, 1, 3, 1, 3]","[1, 1, 3, 1, 3]"
7,1,0,76,0,"[2, 0, 0, 0, 2]","[2, 0, 0, 0, 2]"
8,0,0,124,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
9,0,0,201,1,"[0, 3, 3, 3]","[0, 3, 3, 3]"
10,1,0,133,1,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]"
11,1,0,64,0,"[0, 3, 3, 3]","[0, 3, 3, 3]"
12,1,0,147,0,"[3, 0, 0, 2]","[3, 0, 0, 2]"
13,1,0,172,0,"[0, 0, 0, 0, 3]","[0, 0, 0, 0, 3]"
14,0,0,14,0,"[1, 1, 1, 1]","[1, 1, 1, 1]"
15,1,0,197,1,"[0, 0, 0, 3, 3]","[0, 0, 0, 3, 3]"
16,1,0,173,0,"[1, 1, 1, 1, 2, 2, 2]","[1, 1, 1, 1, 2, 2, 2]"
17,0,0,78,1,"[2, 2, 1, 1, 1, 1]","[2, 2, 1, 1, 1, 1]"
18,0,0,210,1,"[0, 3, 3, 3, 3]","[0, 3, 3, 3, 3]"
19,1,0,20,0,"[1, 1, 3, 1, 3, 1, 1]","[1, 1, 3, 1, 3, 1, 1]"
20,0,0,160,1,"[0, 0, 3, 3, 3]","[0, 0, 3, 3, 3]"
21,0,0,212,0,"[3, 3, 3, 3, 1, 1]","[3, 3, 3, 3, 1, 1]"
22,1,0,232,1,"[1, 1, 1, 3, 1]","[1, 1, 1, 3, 1]"
23,0,0,176,0,"[0, 0, 0, 0, 0, 2, 2]","[0, 0, 0, 0, 0, 2, 2]"
24,0,0,17,0,"[1, 1, 2, 2, 2, 2, 2, 2]","[1, 1, 2, 2, 2, 2, 2, 2]"
25,0,0,60,1,"[0, 0, 0, 2, 2]","[0, 0, 0, 2, 2]"
26,0,0,187,0,"[1, 1, 1, 3]","[1, 1, 1, 3]"
27,1,0,82,0,"[1, 2, 2, 2, 1, 1, 1]","[1, 2, 2, 2, 1, 1, 1]"
28,0,0,100,0,"[3, 0, 0, 3]","[3, 0, 0, 3]"
29,0,0,165,0,"[1, 3, 1, 1, 3]","[1, 3, 1, 1, 3]"
